"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"803662833879830529","https://twitter.com/SBU_Eats/status/803662833879830529","Philly Cheesesteaks over at SAC. Don't miss out! https://t.co/yH3gkz3OlF","2016-11-29 18:12 +0000","282.0","16.0","0.05673758865248227","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803660348385435648","https://twitter.com/SBU_Eats/status/803660348385435648","Dining Dollars getting low? No fear, the Stay on Budget Chart is here! https://t.co/5TwMjwJFA4 https://t.co/nfSYVYXpm0","2016-11-29 18:02 +0000","194.0","5.0","0.02577319587628866","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803658982413963264","https://twitter.com/SBU_Eats/status/803658982413963264","@theadaezeshow you know what? You just won a #sbufeastateast T-shirt for that comment! Message us for details!","2016-11-29 17:56 +0000","96.0","6.0","0.0625","0.0","0.0","0.0","1.0","0.0","1.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803658583040663552","https://twitter.com/SBU_Eats/status/803658583040663552","@GanderRo14 come back!","2016-11-29 17:55 +0000","58.0","4.0","0.06896551724137931","0.0","1.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803654849980223488","https://twitter.com/SBU_Eats/status/803654849980223488","Grab some Tilapia and Rotini with broccoli and garbonzo from West! https://t.co/xPv7BqGeDO","2016-11-29 17:40 +0000","302.0","32.0","0.10596026490066225","0.0","1.0","0.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","27","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803645332076851200","https://twitter.com/SBU_Eats/status/803645332076851200","Did you know? https://t.co/jlLYVNJ6Ad","2016-11-29 17:02 +0000","227.0","13.0","0.05726872246696035","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803644871626129408","https://twitter.com/SBU_Eats/status/803644871626129408","@theadaezeshow glad you enjoyed it!","2016-11-29 17:00 +0000","83.0","2.0","0.024096385542168676","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803639893595275265","https://twitter.com/SBU_Eats/status/803639893595275265","Grab some Tilapia and Rotini with broccoli and garbonzo from West! https://t.co/mWXwBiNhto","2016-11-29 16:40 +0000","234.0","16.0","0.06837606837606838","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","16","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803381018468188160","https://twitter.com/SBU_Eats/status/803381018468188160","https://t.co/ddmp2Q8hRW","2016-11-28 23:32 +0000","289.0","33.0","0.11418685121107267","0.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","0","0","0","0","0","30","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803373243029749760","https://twitter.com/SBU_Eats/status/803373243029749760","More great feedback on East Side! We love it! Read the article here: https://t.co/e0LODGI6VM https://t.co/mstfl8Irxr","2016-11-28 23:01 +0000","214.0","8.0","0.037383177570093455","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803355376171307009","https://twitter.com/SBU_Eats/status/803355376171307009","Check out our November Nutrition Newsletter and find out how you can stay healthy during the holidays! https://t.co/8vLqSUwbV0","2016-11-28 21:50 +0000","209.0","2.0","0.009569377990430622","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803328087932944384","https://twitter.com/SBU_Eats/status/803328087932944384","In the 5 Questions series, luminaries in every field are asked how college helped them reach their goals. Watch here https://t.co/pwIpiMpvEB","2016-11-28 20:01 +0000","230.0","3.0","0.013043478260869565","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803318934145470464","https://twitter.com/SBU_Eats/status/803318934145470464","For lunch at SAC - Mojo pork with fried plantains, greens and bayou rice! 🍴 https://t.co/iAHiSOQ2Em","2016-11-28 19:25 +0000","268.0","8.0","0.029850746268656716","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803316453663473668","https://twitter.com/SBU_Eats/status/803316453663473668","Penne with marinara sauce and a garlic knot from the new Italian at East Side! https://t.co/YhQSAuaqsJ","2016-11-28 19:15 +0000","288.0","36.0","0.125","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","33","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803313037033750528","https://twitter.com/SBU_Eats/status/803313037033750528","Dining Dollars getting low? No fear, the Stay on Budget Chart is here! https://t.co/5TwMjx1gYE https://t.co/Ld1O3r8LoE","2016-11-28 19:02 +0000","278.0","7.0","0.025179856115107913","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803302560304164865","https://twitter.com/SBU_Eats/status/803302560304164865","Come try the Turkish beans over pulao rice with a side of green beans for a tasty yet mindful meal! https://t.co/V0f4hdjbmq","2016-11-28 18:20 +0000","232.0","4.0","0.017241379310344827","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803301276960354304","https://twitter.com/SBU_Eats/status/803301276960354304","Come over to Jasmine and try some Hibachi Halal, NY style Chicken over Rice! 🔥🙌 https://t.co/g1mcXqbMZK","2016-11-28 18:15 +0000","279.0","26.0","0.0931899641577061","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","24","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803297976135389184","https://twitter.com/SBU_Eats/status/803297976135389184","Bite app is now live! Click here for more: https://t.co/bz8DYEviWU https://t.co/tQ0RhkwZrz","2016-11-28 18:02 +0000","263.0","1.0","0.0038022813688212928","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803294137793544192","https://twitter.com/SBU_Eats/status/803294137793544192","Our Starbucks Truck is up and running! Come see us today at our new toll drive location between now and 7pm tonight! https://t.co/L0ZYh8hZhM","2016-11-28 17:47 +0000","298.0","32.0","0.10738255033557047","0.0","0.0","2.0","2.0","3.0","0.0","2.0","0.0","0","0","0","0","0","23","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803282969876168705","https://twitter.com/SBU_Eats/status/803282969876168705","We love hearing from you guys! Check out this great article on the Starbucks truck! https://t.co/AO1z72RVL9 https://t.co/okEqi456vU","2016-11-28 17:02 +0000","215.0","2.0","0.009302325581395349","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
